label,text,label_num,clean_text,char_count,word_count,clean_words,avg_word_len,url,number,exclaim_count,uppercase_ratio
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,go jurong point crazy available bugis great world la buffet cine got amore wat,111,20,14,4.6,0,0,0,0.02702702702702703
ham,Ok lar... Joking wif u oni...,0,ok lar joking wif oni,29,6,5,4.0,0,0,0,0.06896551724137931
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply,155,28,19,4.571428571428571,0,1,0,0.06451612903225806
ham,U dun say so early hor... U c already then say...,0,dun say early hor already say,49,11,6,3.5454545454545454,0,0,0,0.04081632653061224
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah dont think goes usf lives around though,61,13,8,3.769230769230769,0,0,0,0.03278688524590164
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv,147,32,17,3.625,0,1,2,0.047619047619047616
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,even brother like speak treat like aids patent,77,16,8,3.875,0,0,0,0.025974025974025976
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,160,26,15,5.1923076923076925,0,1,0,0.0625
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner valued network customer selected receivea prize reward claim call claim code kl valid hours,157,26,15,5.076923076923077,0,1,3,0.07643312101910828
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,mobile months entitled update latest colour mobiles camera free call mobile update co free,154,29,14,4.344827586206897,0,1,1,0.09090909090909091
